Type,Severity,start_time,end_time
Rain,Light,2022-04-04 08:20:36,2022-04-04 18:20:36
Rain,Light,2022-04-04 19:20:36,2022-04-04 23:20:36
Rain,Light,2022-04-05 00:20:36,2022-04-05 01:20:36
Fog,Moderate,2022-04-05 13:00:36,2022-04-05 16:20:36
Fog,Severe,2022-04-06 04:20:36,2022-04-06 08:20:36
Rain,Light,2022-04-07 10:09:36,2022-04-07 10:20:36
Rain,Light,2022-04-07 13:20:36,2022-04-07 14:20:36
Rain,Light,2022-04-10 12:11:36,2022-04-10 12:35:36
Rain,Light,2022-04-10 13:20:36,2022-04-10 13:32:36
Rain,Light,2022-04-10 15:20:36,2022-04-10 15:29:36
Rain,Light,2022-04-10 15:44:36,2022-04-10 16:20:36
Rain,Light,2022-04-11 03:20:36,2022-04-11 03:50:36
Rain,Light,2022-04-11 20:04:36,2022-04-11 21:08:36
Rain,Light,2022-04-11 21:20:36,2022-04-11 22:20:36
Rain,Light,2022-04-11 22:31:36,2022-04-12 03:20:36
Rain,Light,2022-04-12 03:37:36,2022-04-12 04:20:36
Snow,Heavy,2022-04-14 08:20:36,2022-04-14 08:27:36
Snow,Light,2022-04-14 08:27:36,2022-04-14 09:14:36
Snow,Heavy,2022-04-14 09:14:36,2022-04-14 09:30:36
Snow,Light,2022-04-14 09:30:36,2022-04-14 10:20:36
Snow,Moderate,2022-04-14 10:20:36,2022-04-14 10:33:36
Snow,Light,2022-04-14 10:48:36,2022-04-14 11:20:36
Snow,Moderate,2022-04-14 11:20:36,2022-04-14 12:16:36
Snow,Light,2022-04-14 12:39:36,2022-04-14 13:11:36
Snow,Moderate,2022-04-14 13:11:36,2022-04-14 13:40:36
Snow,Light,2022-04-14 13:40:36,2022-04-15 01:54:36
Rain,Light,2022-04-16 04:20:36,2022-04-16 05:20:36
Rain,Light,2022-04-18 04:06:36,2022-04-18 06:20:36
Rain,Light,2022-04-18 08:20:36,2022-04-18 11:20:36
Rain,Moderate,2022-04-18 11:20:36,2022-04-18 12:20:36
Rain,Light,2022-04-18 12:20:36,2022-04-18 13:20:36
Rain,Moderate,2022-04-18 13:20:36,2022-04-18 14:20:36
Rain,Light,2022-04-18 14:20:36,2022-04-18 15:20:36
Rain,Light,2022-04-18 22:20:36,2022-04-18 23:20:36
Rain,Light,2022-04-22 17:57:36,2022-04-22 19:18:36
