EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3483564,Rain,Light,2019-02-03 12:09:36,2019-02-03 12:57:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483565,Rain,Light,2019-02-03 16:20:36,2019-02-03 18:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483566,Snow,Light,2019-02-03 18:20:36,2019-02-04 06:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483567,Snow,Light,2019-02-05 03:20:36,2019-02-05 04:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483568,Snow,Light,2019-02-05 08:20:36,2019-02-05 09:51:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483569,Snow,Light,2019-02-08 05:03:36,2019-02-08 08:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483570,Snow,Light,2019-02-08 18:20:36,2019-02-10 01:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483571,Snow,Light,2019-02-12 08:33:36,2019-02-12 11:08:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483572,Snow,Light,2019-02-14 11:26:36,2019-02-15 02:07:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483573,Rain,Light,2019-02-15 02:07:36,2019-02-15 07:46:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483574,Snow,Light,2019-02-15 13:20:36,2019-02-15 15:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483575,Snow,Light,2019-02-15 16:20:36,2019-02-15 19:51:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483576,Snow,Light,2019-02-16 14:20:36,2019-02-16 21:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483577,Storm,Severe,2019-02-19 11:20:36,2019-02-19 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483578,Snow,Light,2019-02-24 09:09:36,2019-02-24 09:44:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483579,Fog,Severe,2019-02-24 09:44:36,2019-02-24 11:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483580,Snow,Light,2019-02-24 11:20:36,2019-02-24 11:55:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483581,Fog,Severe,2019-02-24 11:55:36,2019-02-24 13:37:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483582,Snow,Light,2019-02-24 13:37:36,2019-02-24 23:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483583,Snow,Light,2019-02-25 01:20:36,2019-02-25 07:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483584,Snow,Light,2019-02-25 21:20:36,2019-02-25 22:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483585,Snow,Light,2019-02-26 02:20:36,2019-02-26 03:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483586,Rain,Light,2019-02-28 15:20:36,2019-02-28 16:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483587,Rain,Light,2019-02-28 19:20:36,2019-02-28 20:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483588,Rain,Light,2019-03-01 18:20:36,2019-03-01 19:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483589,Hail,Other,2019-03-01 21:48:36,2019-03-01 22:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483590,Rain,Light,2019-03-01 22:20:36,2019-03-02 01:10:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483591,Rain,Light,2019-03-02 01:20:36,2019-03-02 05:41:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483592,Rain,Light,2019-03-02 11:01:36,2019-03-02 11:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483593,Snow,Light,2019-03-02 11:20:36,2019-03-02 12:16:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483594,Fog,Severe,2019-03-02 12:16:36,2019-03-02 13:04:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483595,Snow,Light,2019-03-02 13:04:36,2019-03-02 17:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483596,Snow,Light,2019-03-02 18:20:36,2019-03-02 19:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483597,Snow,Light,2019-03-03 22:20:36,2019-03-04 16:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483598,Snow,Light,2019-03-04 18:20:36,2019-03-04 20:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483599,Snow,Light,2019-03-05 21:01:36,2019-03-05 22:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483600,Snow,Moderate,2019-03-05 22:20:36,2019-03-05 23:06:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483601,Snow,Light,2019-03-05 23:06:36,2019-03-06 00:03:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483602,Snow,Light,2019-03-06 00:20:36,2019-03-06 02:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483603,Rain,Light,2019-03-10 00:20:36,2019-03-10 03:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483604,Fog,Moderate,2019-03-13 09:20:36,2019-03-13 11:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483605,Rain,Light,2019-03-14 00:20:36,2019-03-15 01:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483606,Rain,Light,2019-03-15 04:20:36,2019-03-15 05:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483607,Rain,Moderate,2019-03-15 05:20:36,2019-03-15 06:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483608,Rain,Light,2019-03-16 22:05:36,2019-03-16 22:58:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483609,Rain,Light,2019-03-17 04:20:36,2019-03-17 06:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483610,Rain,Light,2019-03-17 06:45:36,2019-03-17 07:41:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483611,Rain,Light,2019-03-24 16:14:36,2019-03-24 21:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483612,Rain,Light,2019-03-24 23:00:36,2019-03-25 00:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483613,Rain,Light,2019-03-25 02:20:36,2019-03-25 03:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483614,Rain,Light,2019-03-25 06:07:36,2019-03-25 07:13:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483615,Rain,Moderate,2019-03-25 07:13:36,2019-03-25 08:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483616,Rain,Light,2019-03-25 08:20:36,2019-03-25 10:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483617,Rain,Moderate,2019-03-25 10:20:36,2019-03-25 10:38:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483618,Rain,Light,2019-03-25 10:38:36,2019-03-25 11:53:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483619,Rain,Moderate,2019-03-25 11:53:36,2019-03-25 12:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483620,Rain,Heavy,2019-03-25 12:20:36,2019-03-25 12:49:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483621,Rain,Light,2019-03-25 12:49:36,2019-03-25 13:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483622,Rain,Moderate,2019-03-25 13:20:36,2019-03-25 14:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483623,Rain,Light,2019-03-25 16:15:36,2019-03-25 16:38:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483624,Snow,Moderate,2019-03-25 16:38:36,2019-03-25 16:42:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483625,Fog,Severe,2019-03-25 16:42:36,2019-03-25 16:45:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483626,Snow,Moderate,2019-03-25 16:45:36,2019-03-25 17:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483627,Snow,Light,2019-03-25 18:56:36,2019-03-25 19:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
W-3483628,Rain,Light,2019-03-28 16:44:36,2019-03-28 20:20:36,US/Central,KMDW,41.7841,-87.7551,Chicago,Cook,IL,60638.0
